303,,,,,,,"6PC,5PC","6PC,5PC","6PC,5PC",,,
304,,,"6PC,3PC","6PC,3PC",,,,,,"6PC,3PC",,
305,,,,,,,,,"3PC,4PC","3PC,4PC","3PC,4PC",
306,,,,,,,,,,,"4PC,4PC","4PC,4PC"
307,,,,,,,,"5PC,6PC","5PC,6PC",,"5PC,6PC",
308,,,,,,,,,,"4PC,5PC","4PC,5PC","4PC,5PC"
309,,,"6PTS,6PTS","6PTS,6PTS",,"6PTS,6PTS",,,,,,
310,,,,"3PC,5PC",,,,"3PC,5PC",,"3PC,5PC",,
311,,,,,,,,"6PC,5PC","6PC,5PC","6PC,5PC",,
312,,,,"5PC,6PC",,"5PC,6PC","5PC,6PC",,,,,
313,,,"5PC,4PC","5PC,4PC",,"5PC,4PC",,,,,,
314,,,,"3PC,3PC",,"3PC,3PC","3PC,3PC",,,,,
315,,"3PC,2PC",,,,,,,,,,
Waiting List #,May 31 - June 3,June 3 - 6,June 7-13,June 14-20,June 21-27,June 28-July 4,July 5-11,July 12-18,July 19-25,July 26-Aug 1,Aug 2-8,Aug 9-15
316,,,,"5PC,6PC",,"5PC,6PC","5PC,6PC",,,,,
317,,,"6PTS,4PC","6PTS,4PC",,"6PTS,4PC",,,,,,
318,,,"4PC,4PC","4PC,4PC","4PC,4PC",,,,,,,
319,,,,"6PC,4PC",,,,,,"6PC,4PC","6PC,4PC",
320,,,,"6PC,3PC",,,,,,,,
321,,,,,,,,,"4PC,4PC","4PC,4PC","4PC,4PC",
322,,,"4PC,6PTS","4PC,6PTS",,"4PC,6PTS",,,,,,
323,,,"6PC,4PC","6PC,4PC",,,,,,,,"6PC,4PC"
324,,,,"5PC,5PC",,"5PC,5PC","5PC,5PC",,,,,
325,,,,,,"4PC,4PC",,,,,"4PC,4PC","4PC,4PC"
326,,,"6PC,5PC","6PC,5PC","6PC,5PC",,,,,,,
327,,,,"4PC,3PC",,,,,,,,
328,,,,,,,,,,"4PC,4PC","4PC,4PC","4PC,4PC"
329,,,"6PC,6PC",,,,,,,,,"6PC,6PC"
330,,,"4PC,3PC","4PC,3PC",,,,,,,,"4PC,3PC"
